Bin,Phylum,Class,Order,Family,Genus,Species,Distance
bin_200,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_caeni,0.245371
bin_185,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_sp_AL212,0.372583
bin_268,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfovibrionales,f__Desulfovibrionaceae,g__Desulfovibrio,s__Desulfovibrio_desulfuricans,0.246828125
bin_159,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__Thauera_phenylacetica,0.22559
bin_313,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,s__Arcobacter_cryaerophilus,0.13538
bin_28,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__Thauera_phenylacetica,0.207842
bin_173,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__Ruminococcus_bromii,0.040847443
bin_49,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Barnesiellaceae,g__Barnesiella,s__Barnesiella_intestinihominis,0.021658069
bin_371,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_towneri,0.16437
bin_216,p__Firmicutes,c__Clostridia,o__Halanaerobiales,f__Halanaerobiaceae,g__Halanaerobium,s__Halanaerobium_praevalens,0.372583
bin_74,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Brachymonas,s__Brachymonas_denitrificans,0.235108
bin_23,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__Alistipes,s__Alistipes_finegoldii,0.017719027
bin_33,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_fragilis,0.055239408
bin_90,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8249,s__GGB8249_SGB12620,0.240698
bin_77,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Gemmiger,s__Gemmiger_formicilis,0.024583992
bin_377,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8270,s__GGB8270_SGB12646,0.312952
bin_346,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__Aeromonas_salmonicida,0.3009552
bin_65,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Blautia,s__Blautia_obeum,0.03948088
bin_22,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Tolumonas,s__Tolumonas_auensis,0.0239829
bin_257,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_SGB8202,0.35328
bin_284,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_SGB10399,0.20028
bin_62,p__Actinobacteria,c__Actinobacteria,o__Bifidobacteriales,f__Bifidobacteriaceae,g__Bifidobacterium,s__Bifidobacterium_bifidum,0.016379554
bin_2,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Geodermatophilus,s__Geodermatophilus_dictyosporus,0.26546
bin_274,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Azonexaceae,g__Azonexus,s__Azonexus_hydrophilus,0.320287
bin_262,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_towneri,0.148319
bin_14,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__Pseudomonas_oleovorans,0.2840735
bin_128,p__Firmicutes,c__CFGB1340,o__OFGB1340,f__FGB1340,g__GGB3256,s__GGB3256_SGB4303,0.024754825
bin_24,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_eggerthii,0.018244711
bin_142,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,s__Moraxella_osloensis,0.073971128
bin_334,p__Proteobacteria,c__Gammaproteobacteria,o__Alteromonadales,f__Idiomarinaceae,g__GGB6751,s__GGB6751_SGB9549,0.405585
bin_17,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Aquaspirillum,s__Aquaspirillum_sp_LM1,0.0651655
bin_312,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_caeni,0.228939
bin_227,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_bouvetii,0.242205
bin_373,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_parvus,0.317077875
bin_261,p__Firmicutes,c__CFGB4353,o__OFGB4353,f__FGB4353,g__GGB12785,s__GGB12785_SGB19826,0.260425333
bin_53,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Eubacteriaceae,g__Acetobacterium,s__Acetobacterium_wieringae,0.146116
bin_368,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Yersiniaceae,g__Yersinia,s__Yersinia_frederiksenii,0.405585
bin_193,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Williamwhitmaniaceae,g__Williamwhitmania,s__Williamwhitmania_taraxaci,0.258493
bin_264,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Chryseobacterium,s__Chryseobacterium_haifense,0.22668
bin_35,p__Proteobacteria,c__Betaproteobacteria,o__Nitrosomonadales,f__Nitrosomonadaceae,g__Nitrosomonas,s__Nitrosomonas_ureae,0.158711
bin_337,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_caeni,0.197886
bin_172,p__Proteobacteria,c__Betaproteobacteria,o__Rhodocyclales,f__Zoogloeaceae,g__Thauera,s__Thauera_terpenica,0.0698368
bin_311,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_pragensis,0.283502
bin_360,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_temperans,0.256426
bin_221,p__Firmicutes,c__CFGB3012,o__OFGB3012,f__FGB3012,g__GGB9479,s__GGB9479_SGB14874,0.061871399
bin_168,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerobutyricum,s__Anaerobutyricum_hallii,0.047787211
bin_42,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Moraxella,s__Moraxella_osloensis,0.20632836
bin_144,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Williamwhitmaniaceae,g__Williamwhitmania,s__Williamwhitmania_taraxaci,0.339586
bin_196,p__Proteobacteria,c__Deltaproteobacteria,o__Desulfobacterales,f__Desulfobulbaceae,g__Desulfobulbus,s__Desulfobulbus_propionicus,0.300994
bin_246,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Faecalibacterium,s__Faecalibacterium_prausnitzii,0.083635744
bin_247,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__GGB3607,s__GGB3607_SGB4871,0.070179788
bin_305,p__Actinobacteria,c__Actinobacteria,o__Geodermatophilales,f__Geodermatophilaceae,g__Geodermatophilus,s__Geodermatophilus_sp_DSM_45219,0.339586
bin_81,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Chromobacteriaceae,g__Jeongeupia,s__Jeongeupia_sp_USM3,0.240698
bin_219,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Acetoanaerobium,s__Acetoanaerobium_sticklandii,0.0971654
bin_348,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Acidovorax,s__Acidovorax_sp_KKS102,0.2497285
bin_237,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Acetoanaerobium,s__Acetoanaerobium_sticklandii,0.106365
bin_16,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8249,s__GGB8249_SGB12620,0.260703
bin_135,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__Flavobacterium_succinicans,0.123418
bin_51,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Oblitimonas,s__Oblitimonas_alkaliphila,0.3040375
bin_352,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Acetoanaerobium,s__Acetoanaerobium_sticklandii,0.155645
bin_342,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__GGB8277,s__GGB8277_SGB12658,0.328965
bin_363,p__Proteobacteria,c__Betaproteobacteria,o__Neisseriales,f__Neisseriaceae,g__Neisseria,s__Neisseria_chenwenguii,0.372583
bin_210,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_towneri,0.108403
bin_155,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Moraxellaceae,g__Acinetobacter,s__Acinetobacter_sp_AG1,0.092824525
bin_267,p__Verrucomicrobia,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Akkermansia_muciniphila,0.09296587
bin_71,p__Proteobacteria,c__Epsilonproteobacteria,o__Campylobacterales,f__Campylobacteraceae,g__Arcobacter,s__Arcobacter_butzleri,0.197559077
bin_286,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_vulgatus,0.158594912
bin_333,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__Anaerostipes,s__Anaerostipes_hadrus,0.119368098
bin_113,p__Nitrospirae,c__Nitrospira,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__Nitrospira_sp_ND1,0.03611525
bin_341,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__GGB9715,s__GGB9715_SGB15265,0.124265905
